diet_type,cost
current,38.486835590228075
current,39.15507397175303
current,15.701987799408338
current,20.04900564462258
current,21.8224964357286
current,6.742044102490695
current,9.58147916308808
current,6.966331725355472
current,9.232330389350128
current,13.253321896173297
current,14.39325795877469
current,7.3201049861628
current,4.962541478194483
current,6.240287255463306
current,5.599795796354613
current,9.202271223399178
current,7.692376195247638
current,6.9270235852657684
current,4.894561518274644
current,8.45079207462544
current,6.691174744727549
current,10.127168637274547
current,38.17705879854948
current,38.84529718007444
current,15.392211007729742
current,19.73922885294398
current,21.51271964405
current,6.432267310812099
current,9.271702371409484
current,6.656554933676876
current,8.922553597671532
current,12.943545104494703
current,14.083481167096096
current,7.010328194484206
current,4.652764686515889
current,5.930510463784712
current,5.290019004676019
current,8.892494431720582
current,7.382599403569042
current,6.617246793587174
current,4.584784726596048
current,8.141015282946846
current,6.381397953048955
current,9.817391845595953
current,41.01844738524668
current,41.68668576677164
current,18.233599594426945
current,22.580617439641184
current,24.354108230747205
current,9.273655897509304
current,12.113090958106689
current,9.497943520374081
current,11.763942184368737
current,15.784933691191906
current,16.9248697537933
current,9.851716781181409
current,7.494153273213092
current,8.771899050481915
current,8.131407591373222
current,11.733883018417787
current,10.223987990266245
current,9.458635380284377
current,7.426173313293253
current,10.982403869644049
current,9.222786539746158
current,12.658780432293156
current,38.33188759900754
current,39.000125980532495
current,15.547039808187801
current,19.89405765340204
current,21.66754844450806
current,6.587096111270158
current,9.426531171867543
current,6.811383734134935
current,9.077382398129592
current,13.098373904952762
current,14.238309967554155
current,7.165156994942265
current,4.807593486973948
current,6.085339264242771
current,5.444847805134078
current,9.047323232178641
current,7.537428204027101
current,6.7720755940452335
current,4.739613527054107
current,8.295844083404905
current,6.536226753507014
current,9.972220646054012
current,38.223501111747304
current,38.89173949327226
current,15.438653320927568
current,19.785671166141807
current,21.559161957247827
current,6.478709624009923
current,9.318144684607308
current,6.7029972468747
current,8.968995910869356
current,12.989987417692525
current,14.129923480293918
current,7.05677050768203
current,4.699206999713713
current,5.976952776982536
current,5.336461317873843
current,8.938936744918408
current,7.429041716766866
current,6.663689106784998
current,4.631227039793872
current,8.18745759614467
current,6.427840266246779
current,9.863834158793777
current,37.91372432006871
current,38.58196270159367
current,15.128876529248972
current,19.475894374463213
current,21.249385165569233
current,6.168932832331329
current,9.008367892928714
current,6.393220455196106
current,8.659219119190762
